Geography,Count of 1,Sum of MIN Tract,Sum of LMI Tract,Sum of Total Persons,Sum of Total Families,Sum of Total HHs,Sum of Total Female Pop,Sum of Total Male Pop,Sum of Total Minority Pop,Average of Minority Pop as Percent of Tract Pop,Sum of Total Pop Hispanic only,Sum of Total Pop Non-Hispanic White,Sum of Total Pop Non-Hispanic American Indian/Alaska Native,Sum of Total Pop Non-Hispanic Native Hawaiian/other Pacific Islander,Sum of Total Pop Non-Hispanic Black/African American,Sum of Total Pop Non-Hispanic Asian,Sum of Total Pop Householder in Family HHs,Sum of Total Pop in Family HHs,Sum of Total Male Householders in Family HHs,Sum of Total Female Householders in Family HHs,Sum of Total Spouse Householder in Family HHs,Sum of Total Children in Family HHs,Sum of Total Grandchildren in Family HHs,Sum of Total Parents in Family HHs,Sum of Total Other Relatives in Family HHs,Sum of Total Non-relatives in Family HHs,Sum of Total Pop in Non-Family HHs,Sum of Total Male Households in Non-Family HHs,Sum of Total Male Householders living alone in Non-Family HHs,Sum of Total Male Householders not living alone in Non-Family HHs,Sum of Total Female Householders in Non-Family HHs,Sum of Total Female Householders living alone in Non-Family HHs,Sum of Total Female Householders not living alone in Non-Family HHs,Sum of Total nonrelatives in Non-Family HHs,Sum of Total Pop in Group Quarters,Sum of Total Pop 65 years and over,Sum of Total Population,Sum of Total Male Pop2,Sum of Total Male Pop 18 to 24 years,Sum of Total Male Pop 25 to 39 years,Sum of Total Male Pop 40 to 49 years,Sum of Total Male Pop 50 to 61 years,Sum of Total Male Pop 62 years and over,Sum of Total Female Pop2,Sum of Total Female Pop 18 to 24 years,Sum of Total Female Pop 25 to 39 years,Sum of Total Female Pop 40 to 49 years,Sum of Total Female Pop 50 to 61 years,Sum of Total Female Pop 62 years and over,Sum of Total Male/Female Pop 18 to 24 years,Sum of Total Male/Female Pop 25 to 39 years,Sum of Total Male/Female Pop 40 to 49 years,Sum of Total Male/Female Pop 50-61 years,Sum of Total Male/Female Pop 62 years and over,Average of Female Median Age,Average of Male Median Age,Average of Persons Median Age,Sum of Total Male Pop 16 and over,Sum of Total Male Pop 16 and over in Labor Force,Sum of Total Male Pop 16 and over in Armed Forces,Sum of Total Male Pop 16 and over - Civilians,Sum of Total Male Pop 16  and over - Employed,Sum of Total Male Pop 16 and over - Unemployed,Sum of Total Male Pop 16 and over - Not in Labor Force,Sum of Total Female Pop 16 and over,Sum of Total Female Pop 16 and over in Labor Force,Sum of Total Female Pop 16 and over in Armed Forces,Sum of Total Female Pop 16 and over - Civilians,Sum of Total Female Pop 16  and over - Employed,Sum of Total Female Pop 16 and over - Unemployed,Sum of Total Female Pop 16 and over - Not in Labor Force,Average of MFI - White,Average of MFI - Black,Average of MFI - American Indian/Alaska Native,Average of MFI - Asian,Average of MFI - Native Hawaiian/Pacific Islander,Average of MFI - Some other race,Average of MFI - Two or more races,Average of MFI - Hispanic or Latino,"Average of MFI - White, not Hispanic",Sum of Total Families2,Sum of Total Families with Income Below Poverty,Sum of Total Housing Units,Sum of Total Housing Units - Occupancy Status,Sum of Total Occupied Housing Units,Sum of Total Vacant Housing Units,Sum of Total Occupied Housing Units - Tenure,Sum of Total Owner Occupied Housing Units - Tenure,Sum of Total Renter Occupied Housing Units - Tenure,Average of Median Year Structure Built,Average of Median Gross Rent - Dollars,Average of Median Value (Dollars) for all Owner Occupied Housing Units,Average of MFI as Percent of MSA MFI,Average of MSA MFI,Sum of Low Income,Sum of Moderate Income,Sum of Middle Income,Count of Upper Income,Sum of LMI Pop,Sum of MIN Pop
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
AK,191,56,55,855385,199849,293916,406897,448488,340438,39.36659686,44256,514947,164157,7749,23112,45630,199849,674611,112748,87101,147182,256086,18399,5000,16249,23784,123339,52572,39937,12635,41495,32157,9338,29272,36683,60826,855385,448488,48354,93076,65011,79432,45330,406897,40734,83605,58045,69464,44531,89088,176681,123056,148896,89861,35.46596859,35.7382199,35.71204188,333378,254861,16599,230457,213440,24822,78517,302281,201655,2231,193758,183907,15517,100626,82490.65969,24797.09948,50546.05236,35060.79058,4345.376963,19067.97906,55271.53927,45585.95288,83710.04188,199849,14476,363848,363848,293916,69932,293916,189021,104895,1970.146597,956.2774869,206641.8848,97.91109948,82239.26702,4,51,100,191,18648,229268
AL,1210,359,366,5293523,1375812,2017207,2722926,2570597,1779812,37.40865289,195145,3513711,28974,2082,1430075,54301,1375812,4339940,783911,591901,989764,1531997,156118,43663,106046,77109,760407,287322,241025,46297,354073,320742,33331,119012,129066,716713,5293523,2570597,262866,494432,356393,417497,399647,2722926,261400,510360,371287,447120,520955,524266,1004792,727680,864617,920602,39.28429752,36.47272727,37.95454545,1971745,1305997,13908,1236822,1180127,111962,665748,2151793,1158695,2367,1114931,1049722,106606,993098,56245.50744,33827.46364,6711.871901,11800.05868,206.6123967,4576.398347,12580.2562,14684.73471,56692.93884,1375812,185060,2399793,2399793,2017207,382586,2017207,1442398,574809,1965.17686,643.5115702,117770.9909,97.91935537,56346.28099,91,275,573,1210,256265,1243264
AR,739,126,164,3766990,991124,1448135,1914617,1852373,941417,27.30635995,226525,2825573,25122,5732,585477,39553,991124,3076292,568546,422578,737280,1048350,100386,30691,69548,64845,542072,208516,172232,36284,248495,223177,25318,85061,108276,550900,3766990,1852373,181394,352838,249383,292126,311433,1914617,175618,350192,252125,306047,386363,357012,703030,501508,598173,697796,39.35588633,36.95669824,38.18538566,1419127,919681,6454,871407,836728,76499,499446,1506048,820621,1209,785066,755336,64076,685427,52042.50068,21878.43031,8891.594046,12935.27064,297.932341,6801.197564,15388.17456,21424.16238,52547.20704,991124,138676,1710531,1710531,1448135,262396,1448135,994854,453281,1972.94452,605.1312585,101166.3058,98.91110961,52817.18539,29,135,436,739,95286,531623
AZ,1528,483,495,6420943,1551127,2339953,3230172,3190771,2708388,41.47399869,1903995,3712555,259769,10969,239295,170643,1551127,5123479,918720,632407,1156733,1834690,143306,68593,146698,145369,1017105,384339,292251,92088,404487,334728,69759,228279,135099,840759,6420943,3190771,328723,650086,420003,451866,504963,3230172,306345,626199,416959,487832,592812,635068,1276285,836962,939698,1097775,38.28272251,36.69829843,37.52028796,2387696,1631546,17630,1547807,1485813,128103,756150,2449186,1375694,2886,1323154,1272216,100592,1073492,62575.19699,25085.90118,11923.91099,32409.6466,839.8769634,34521.42539,17478.71924,50201.09555,66158.31806,1551127,169896,2796234,2796234,2339953,456281,2339953,1577729,762224,1879.022906,936.9024869,224755.8946,102.2227683,60317.86649,114,381,572,1528,431282,2059293
CA,8068,4682,2687,37431000,8540363,12462182,18821643,18609357,22354929,58.15071765,14054449,15076071,169113,128793,2165712,4777879,8540363,30705887,4986702,3553661,6195635,11538890,811644,654566,1304705,1020974,5275173,1855383,1357506,497877,2066436,1685048,381388,1353354,832670,4087763,37431000,18609357,2046504,4021133,2667473,2731647,2365698,18821643,1890511,3900750,2654942,2855196,2962519,3937015,7921883,5322415,5586843,5328217,36.83341596,34.92575607,35.91559246,14107143,10107594,125531,9620055,9078334,903729,3999549,14479496,8393219,18150,8105566,7628053,747016,6086277,75950.15741,34612.31792,8955.095935,66885.14911,3281.932077,45532.54053,38309.02305,59704.324,79549.65692,8540363,872926,13648686,13648686,12462182,1186504,12462182,7157771,5304411,1922.64353,1234.006197,467710.3603,104.2849405,71565.22062,626,2061,2767,8068,2680252,22733389
CO,1295,214,393,5514688,1359736,2108989,2740505,2774183,1621661,28.93806178,1131379,3893027,37018,5904,194021,138565,1359736,4271768,805371,554365,1064128,1497979,78195,39299,88820,97480,962714,369660,283280,86380,379593,311942,67651,213461,132279,577921,5514688,2774183,276059,605415,397437,451948,361692,2740505,250427,564184,390228,458601,427535,526486,1169599,787665,910549,789227,37.81312741,36.32509653,37.0980695,2104375,1589820,25677,1504997,1453876,110267,514555,2102390,1334215,4994,1286639,1242477,86744,768175,72886.25251,16322.10656,8104.885714,30770.75676,847.0857143,26677.72741,25120.59846,48765.22162,75946.24633,1359736,117301,2463953,2463953,2108989,354964,2108989,1435513,673476,1904.795367,924.0625483,256033.983,101.2564247,74476.98842,97,296,518,1295,384673,896650
CT,833,195,258,3574097,911653,1359218,1834483,1739614,1027835,30.38256903,479087,2546262,6885,958,335119,134091,911653,2878429,502141,409512,686853,1038567,47825,40913,58980,62753,550111,196001,153836,42165,251564,215716,35848,102546,117297,491703,3574097,1739614,168032,318661,269312,295976,269437,1834483,158627,324117,283997,312862,356061,326659,642778,553309,608838,625498,40.2785114,37.98559424,39.18127251,1353276,999311,8075,940896,913582,77654,353965,1467561,920538,869,878620,851967,67702,547023,88378.80192,38167.94838,1253.702281,62336.65306,449.5726291,21567.07923,19286.84514,55679.91477,90400.62425,911653,58882,1475657,1475657,1359218,116439,1359218,939984,419234,1944.392557,1055.613445,324965.6939,100.1868307,90795.43818,111,147,328,833,378604,757367
DC,179,123,105,601723,109171,257317,317501,284222,392259,68.55240223,54749,209464,1322,216,301053,20818,109171,352070,45779,63392,56884,126243,19629,5111,15007,10349,193151,68492,53483,15009,79654,67136,12518,45005,39179,67108,601723,284222,39235,80231,38670,39927,35270,317501,47780,87439,37603,44382,50371,87015,167670,76273,84309,85641,35.58659218,34.06703911,34.99441341,230103,162140,2407,152248,144120,15613,67963,263298,168958,655,161627,153069,15234,94340,99066.93296,59499.26257,1396.653631,34958.03352,0,16430.49721,11163.6257,41502.35754,103672.3408,109171,15813,293492,293492,257317,36175,257317,111879,145438,1929.703911,1070.810056,444922.3855,84.96458101,109400,58,47,25,179,188163,383193
DE,218,43,58,897934,224796,331639,462995,434939,311182,33.53697248,73221,586752,2824,238,186782,28308,224796,719905,126981,97815,164401,253625,19834,9702,18813,19460,136806,48600,37376,11224,58243,49614,8629,29963,24567,122912,897934,434939,45455,82187,62154,69075,71233,462995,45450,84559,66160,76427,89469,90905,166746,128314,145502,160702,40.27981651,37.7293578,39.04587156,334649,233882,3051,220529,213581,17250,100767,365726,221010,704,211371,205481,14825,144716,73347.40367,46498.70642,3014.678899,39913.3945,0,13169.74312,14479.46789,36614.46789,75010.15596,224796,16647,398866,398866,331639,67227,331639,244005,87634,1937.573394,914.8715596,256332.1147,99.14798165,74431.19266,11,47,103,218,31169,164532
FL,4263,1299,1201,19121905,4742445,7255261,9754472,9367433,8006296,38.9467042,4250322,11115609,49350,9822,2906173,446668,4742445,15151305,2721881,2020564,3497878,5116267,374805,301018,471849,408452,3227569,1157718,882483,275235,1355098,1153023,202075,714753,449589,3180332,19121905,9367433,907616,1775442,1341655,1463259,1797570,9754472,861994,1756528,1358147,1591897,2198064,1769610,3531970,2699802,3055156,3995634,42.54468684,40.42950973,41.52920479,7389487,4901825,50198,4594844,4407953,443674,2487662,7855517,4415020,9142,4211311,4025338,380540,3440497,61241.35304,32571.56908,2236.832981,28131.65658,303.2915787,19327.48792,14131.81938,43082.2069,63913.74595,4742445,471814,9001172,9001172,7255261,1745911,7255261,5065886,2189375,1919.831105,994.4494487,224354.6603,103.0646094,58091.86019,191,1010,1780,4263,681029,6324050
GA,2072,755,650,11303623,2787092,4055709,5769942,5533681,4785445,44.0673166,925424,6518178,25165,5679,3319407,320473,2787092,9158489,1558367,1228725,1991786,3343702,300094,120358,267832,205543,1587108,581518,460044,121474,687099,600748,86351,318491,321722,1196023,11303623,5533681,569954,1149212,811869,827761,705602,5769942,547490,1175763,836008,893928,909911,1117444,2324975,1647877,1721689,1615513,36.93774131,34.62258687,35.82432432,4130197,2888618,55611,2729358,2584021,248986,1241579,4414429,2588963,8068,2503433,2349588,231307,1825466,65131.70463,41847.78909,2293.805502,27913.13417,220.144305,13763.18774,13502.37259,30243.47104,66349.34459,2787092,347823,4751033,4751033,4055709,695324,4055709,2757005,1298704,1964.084942,804.6867761,161938.0801,100.6459363,60918.09846,156,494,897,2072,507146,3697419
HI,352,281,86,1360391,308533,442334,679106,681285,1051024,68.51446023,120843,309367,2823,128266,19904,513301,308533,1116540,177616,130917,228275,370676,54872,24525,67357,40239,175281,66515,50698,15817,67286,54526,12760,41480,41844,186429,1360391,681285,70125,139606,93478,112612,109452,679106,60190,132499,91942,114110,132559,130315,272105,185420,226722,242011,37.11363636,34.66761364,35.91193182,531309,384978,34097,333058,328365,22516,146331,537052,329153,5505,308695,308149,15499,207899,71768.37784,12946.13636,3039.286932,68420.96023,50118.21591,10609.2017,61104.45455,45530.15625,72151.78409,308533,20775,512274,512274,442334,69940,442334,262419,179915,1722.238636,1232.957386,459578.4517,89.08576705,81845.17045,13,73,144,352,35943,1244882
IA,902,20,159,4102423,1085921,1649138,2068655,2033768,406800,10.63576497,187359,3695623,11523,2295,93228,60186,1085921,3254214,685587,400334,884747,1103542,42394,16125,31152,69951,689557,260868,205142,55726,302349,263363,38986,126340,132790,642383,4102423,2033768,199026,370628,273318,345933,342664,2068655,186729,355462,270937,341435,438411,385755,726090,544255,687368,781075,40.52660754,37.96341463,39.22838137,1575766,1160640,2474,1095186,1095171,62995,415126,1642217,1042550,507,992050,991809,50234,599667,60982.16408,7961.925721,2230.095344,16425.10976,201.8658537,9873.776053,9421.52439,22899.82262,61261.96009,1085921,79093,1813856,1813856,1649138,164718,1649138,1225606,423532,1952.838137,599.8503326,114771.6186,97.98284922,67098.55876,25,134,620,902,69360,57317
ID,331,5,67,1950550,502174,712379,969869,980681,321264,15.97933535,232063,1629286,21749,2470,10174,20858,502174,1599962,311734,190440,408814,577133,27249,11815,24650,34969,268859,103541,78171,25370,106664,90136,16528,58654,33487,236430,1950550,980681,93607,190613,123682,149706,148251,969869,89843,182011,122701,150684,164532,183450,372624,246383,300390,312783,37.39577039,36.08761329,36.72507553,717177,514395,6097,486957,470214,38084,202782,720282,419089,1092,404491,391381,26616,301193,55040.30514,3348.072508,9363.76435,13323.71903,1598.728097,18583.06344,25068.27795,35370.35347,56127.78248,502174,49478,834748,834748,712379,122369,712379,510205,202174,1970.963746,672.8882175,178671.2991,100.0941994,57495.16616,6,61,207,331,23979,16360
IL,3175,976,1004,13564819,3363237,5065226,6904672,6660147,4710103,37.47374803,2045235,8854716,20280,3124,1851924,582874,3363237,11067728,1990092,1373145,2516110,4126806,257087,138469,269824,244000,2081078,780694,625745,154949,921295,803596,117699,379089,334768,1698701,13564819,6660147,667775,1382933,948017,1049922,929511,6904672,636823,1373387,962948,1101387,1219520,1304598,2756320,1910965,2151309,2149031,38.18204724,35.70425197,37.0176378,5124984,3710972,18383,3546273,3360793,331796,1414012,5434433,3305692,3463,3179460,3038121,264108,2128741,70593.34331,27981.5578,1700.135118,39410.30394,23.77291339,20955.1178,13551.00882,39730.47843,71987.96189,3363237,310338,5606757,5606757,5065226,541531,5065226,3531326,1533900,1949.607559,858.6925984,221343.372,100.5972976,73660.25197,327,677,1343,3175,952630,3676459
IN,1549,192,475,7202013,1857094,2745968,3654340,3547673,1225856,20.20355068,403932,5976157,15638,1979,586612,103597,1857094,5838088,1141005,716089,1417742,2096185,131206,50056,96570,140333,1098056,420034,334122,85912,468840,408177,60663,209182,200942,923393,7202013,3547673,357799,687051,498951,575314,515984,3654340,347575,680758,501889,592077,662626,705374,1367809,1000840,1167391,1178610,38.25048418,35.87604906,37.09360878,2708389,1924481,4814,1840099,1750121,169546,783908,2852855,1709081,844,1642538,1573497,134740,1143774,57494.7153,21444.87218,1495.663008,15878.07424,161.3950936,10536.77663,12555.4093,23885.61394,57834.35765,1857094,177521,3099904,3099904,2745968,353936,2745968,1984360,761608,1952.392511,691.1820529,117875.4687,95.13003873,62291.02647,117,358,771,1549,316969,632778
KS,856,92,196,3567025,926623,1389678,1795408,1771617,703270,21.78108645,350797,2863755,29661,2251,170853,70207,926623,2857096,565435,361188,735022,1000484,50552,17901,40766,63080,561480,217263,175600,41663,245792,215207,30585,98425,103924,493455,3567025,1771617,179992,338758,234294,285175,270734,1795408,167332,326788,234178,287892,340204,347324,665546,468472,573067,610938,38.65654206,36.43691589,37.60630841,1344080,990282,14168,923093,917693,58421,353798,1391380,873240,2004,831190,824183,47053,518140,61633.73364,21489.30491,10951.84696,21184.69977,79.06308411,14528.64136,23151.05607,34498.25234,62800.49416,926623,77586,1557363,1557363,1389678,167685,1389678,982730,406948,1925.515187,661.0245327,114189.6028,101.3181776,65028.6215,39,157,471,856,105191,297920
KY,1201,58,332,5680777,1485651,2185888,2878119,2802658,677326,13.31482931,157809,5003451,11111,2393,370502,52084,1485651,4627442,857259,628392,1123743,1605567,126068,44594,91987,105451,836711,316816,262392,54424,383421,339791,43630,136474,160975,750802,5680777,2802658,268720,555172,403046,461681,427880,2878119,257520,541937,406240,481123,539600,526240,1097109,809286,942804,967480,39.20233139,36.85928393,38.04746045,2163571,1397950,17792,1325416,1256289,123869,765621,2279744,1232019,1815,1186513,1132936,97268,1047725,52578.41216,22199.42298,1575.333056,16663.84929,51.54787677,2962.711907,9665.393006,13650.36803,52854.65779,1485651,212546,2522484,2522484,2185888,336596,2185888,1553135,632753,1956.502082,594.1790175,115830.7236,98.36865945,56700.9159,79,253,590,1201,222562,191383
LA,1178,420,397,5058800,1240499,1827873,2571870,2486930,2001062,43.65251273,203068,3057738,32463,1651,1622420,71267,1240499,4080252,660654,579845,856141,1509655,169297,45710,109426,91578,716942,274090,224265,49825,313284,275928,37356,129568,157931,610264,5058800,2486930,261703,506461,339656,398043,345762,2571870,258058,497275,347155,416564,444363,519761,1003736,686811,814607,790125,36.94397284,34.34125637,35.69185059,1876087,1242671,14803,1175831,1128169,99699,633416,1992085,1112693,2365,1069913,1025651,84677,879392,57231.14261,32006.67657,6027.387097,17284.83616,155.8497453,6312.174873,9899.830221,23640.16129,57448.71392,1240499,174177,2142874,2142874,1827873,315001,1827873,1260450,567423,1935.391341,696.655348,130626.9083,95.34703735,58463.15789,120,277,482,1178,287878,1452859
MA,1480,223,445,6574336,1606685,2521705,3394319,3180017,1567069,25.17855405,628995,5007267,10959,1472,392834,347736,1606685,5090261,893848,712837,1199507,1845238,82692,67612,105108,119746,1174415,402112,303776,98336,512908,425761,87147,259395,238644,880243,6574336,3180017,338199,623154,482788,527565,480244,3394319,341310,645504,505847,564033,641488,679509,1268658,988635,1091598,1121732,39.4972973,37.29054054,38.43581081,2502671,1822822,5182,1733790,1669643,147997,679849,2743778,1729750,957,1657329,1616401,112392,1014028,83550.94257,28710.48851,1368.312162,52505.33041,255.7851351,16052.72703,17576.49459,34884.04662,84867.53986,1606685,119548,2814212,2814212,2521705,292507,2521705,1615616,906089,1927.15,1025.485135,362659.8736,99.55272973,88047.77027,164,281,599,1480,603091,887621
MD,1408,580,498,5820219,1433828,2137109,3004681,2815538,2632682,45.52708097,472402,3187537,13921,2417,1688314,317034,1433828,4705169,808547,625281,1037589,1695625,126993,66140,143702,130460,891476,305774,236768,69006,397507,338764,58743,188195,146207,685026,5820219,2815538,287614,559431,426193,457739,390382,3004681,277374,587505,459546,503468,509990,564988,1146936,885739,961207,900372,38.99715909,36.51775568,37.84872159,2165643,1610092,21552,1515031,1478041,110499,555551,2376777,1546568,6328,1483730,1445061,95179,830209,86380.70739,61827.83239,2926.286932,53933.67756,46.31178977,18445.93821,23536.05469,45388.75142,87515.62145,1433828,82036,2376301,2376301,2137109,239192,2137109,1475292,661817,1933.993608,1140.987216,320531.3267,95.67269886,95708.87784,146,352,549,1408,467049,2388124
ME,359,1,59,1345896,359411,559162,687146,658750,74706,5.706490251,17104,1271190,8300,320,15206,13570,359411,1056807,202116,157295,282572,340387,14857,8292,12842,31946,252714,89173,66383,22790,110578,91371,19207,52963,35699,206586,1345896,658750,59763,112332,99040,124459,120388,687146,57331,114642,102572,130489,146982,117094,226974,201612,254948,267370,42.55710306,40.68802228,41.66016713,531540,371019,3040,349603,340951,27028,160521,566388,343900,255,329632,324318,19327,222488,56355.97493,4403.83844,3290.328691,8112.409471,0,517.0111421,12587.50975,7294.147632,56464.41504,359411,30522,729386,729386,559162,170224,559162,409169,149993,1928.846797,702.3704735,175253.4819,96.78501393,61909.7493,6,53,233,359,14391,610
MI,2848,505,814,10501883,2731145,4107481,5343129,5158754,2354662,26.14005267,449072,8147221,65444,2303,1389878,238370,2731145,8645795,1637028,1094117,2056037,3169677,179129,82354,147242,192910,1680550,639526,516134,123392,736810,641647,95163,304214,252862,1444127,10501883,5158754,515493,928693,740666,889121,820273,5343129,498693,935176,753150,925280,1026008,1014186,1863869,1493816,1814401,1846281,39.33005618,37.03967697,38.26053371,4058907,2725873,5348,2623203,2377361,343164,1333034,4291167,2499573,780,2420571,2240209,258584,1791594,58472.27037,25458.91397,5815.309691,24094.86166,131.2219101,6676.899228,14804.94206,24572.4842,58691.80548,2731145,288990,4968458,4968458,4107481,860977,4107481,3070744,1036737,1901.281952,749.1257022,140839.6064,95.76708567,62680.44242,232,582,1300,2848,576657,1367665
MN,1390,104,302,6038405,1562995,2390652,3037615,3000790,959813,17.1184964,278389,5078592,68802,2110,273716,218791,1562995,4794950,962517,600478,1251161,1687360,56445,27261,59071,109073,1029506,393499,304030,89469,434158,367573,66585,201849,153271,792026,6038405,3000790,284043,588874,430764,502499,449302,3037615,271738,573394,426646,500539,553744,555781,1162268,857410,1003038,1003046,39.21079137,37.28201439,38.25467626,2314544,1736785,3270,1660560,1608878,124637,577759,2380981,1571622,365,1515036,1487156,84101,809359,72957.8259,17669.8295,7166.265468,33942.95755,0,10711.32302,14454.49281,28749.61871,73841.93669,1562995,108291,2707832,2707832,2390652,317180,2390652,1790931,599721,1952.589928,777.0769784,203407.2662,98.7947554,77188.63309,73,229,809,1390,230796,363589
MO,1470,190,396,7082643,1839095,2779535,3603661,3478982,1212419,20.78863946,233052,5870224,29044,6484,716753,101137,1839095,5658932,1099096,739999,1405227,1975020,126879,45753,90418,128338,1143061,428913,343481,85432,511527,445100,66427,202621,212427,998891,7082643,3478982,346489,663712,484032,566620,557159,3603661,338384,661071,488656,592608,703189,684873,1324783,972688,1159228,1260348,39.2462585,36.76190476,38.03265306,2680200,1849926,17647,1748556,1686538,145741,830274,2850567,1697803,4491,1624789,1577447,115865,1152764,58512.2102,22777.9551,5405.37551,19759.44694,128.1639456,5224.140136,18198.53401,23382.86939,58677.43741,1839095,189682,3210881,3210881,2779535,431346,2779535,1964975,814560,1956.745578,671.3938776,134100.1361,97.70560544,63460.40816,116,280,760,1470,313941,618679
MS,719,283,210,3928537,996111,1430279,2016071,1912466,1661625,45.5489847,103271,2266912,23115,1126,1469388,27655,996111,3263592,522567,473544,672963,1199005,158673,34279,86552,70392,511748,199308,167878,31430,234860,215439,19421,77580,130576,503573,3928537,1912466,199074,371182,255663,297936,276802,2016071,195811,379613,267437,318766,364830,394885,750795,523100,616702,641632,37.32823366,34.32823366,35.88873435,1445453,917728,11701,866754,816605,89422,527725,1573173,849190,3116,816962,761095,84979,723983,54460.05702,31090.01252,1972.279555,7693.443672,3.47566064,3038.279555,7930.788595,14057.20584,54456.0765,996111,173603,1670183,1670183,1430279,239904,1430279,1030645,399634,1959.037552,628.2155772,95775.52156,97.93041725,50040.47288,43,167,339,719,137991,1307527
MT,319,16,61,1321984,345446,535908,656850,665134,182642,12.82332288,36033,1139342,104711,741,4429,7227,345446,1030008,202867,142579,280105,331235,22136,6142,12493,25237,234520,94742,75022,19720,95720,80988,14732,44058,38706,194946,1321984,665134,62048,117823,85580,123981,120775,656850,56703,111638,85697,124086,132396,118751,229461,171277,248067,253171,41.94984326,40.62068966,41.34796238,519469,357395,3303,334059,330164,23928,162074,521458,312855,538,298456,297125,15192,208603,55347.44828,1252.119122,18020.65831,4688.667712,369.6426332,2580.76489,17234.00313,18888.84953,55592.16614,345446,35468,644719,644719,535908,108811,535908,373041,162867,1963.009404,609.0877743,165980.2539,97.68774295,61577.42947,5,56,210,319,13846,77968
NC,2225,561,569,10061326,2564156,3832173,5155007,4906319,3481182,34.43945618,822887,6580144,116029,5360,2150258,209092,2564156,7953830,1479640,1084516,1899450,2752163,208182,82830,178229,169377,1558678,570075,450182,119893,697942,609425,88517,290661,280818,1259167,10061326,4906319,499640,987212,708100,762272,725265,5155007,479397,1006738,730849,828433,941019,979037,1993950,1438949,1590705,1666284,38.97483146,36.51505618,37.81438202,3713918,2608297,77524,2426755,2304184,226589,1105621,3997635,2351975,8873,2261786,2140401,202701,1645660,63183.60854,38530.60315,4158.02427,21942.17303,92.74382022,13117.84539,11330.80674,26590.53708,64418.70966,2564156,295176,4509552,4509552,3832173,677379,3832173,2624856,1207317,1942.481348,719.665618,162580.5856,102.2887326,59485.16854,128,441,1018,2225,427459,2523680
ND,254,12,34,985560,254683,406593,486980,498580,114118,10.71610236,19113,871442,63034,394,8801,7938,254683,751868,158897,95786,209254,249680,9703,3291,6527,14039,182402,76103,62355,13748,75807,65547,10260,30492,36028,153370,985560,498580,56844,93561,63911,87453,83545,486980,49493,83706,61365,82632,102234,106337,177267,125276,170085,185779,41.98425197,39.62598425,40.70866142,391578,286044,5288,265185,269889,10867,105534,387313,247080,928,233833,238337,7815,140233,62514.88583,2305.082677,16885.67717,7754.255906,0,2585.69685,10084.25984,12406.74409,62645.43701,254683,18901,469837,469837,406593,63244,406593,281285,125308,1966.366142,487.4173228,96069.68504,98.38070866,70279.13386,9,25,196,254,31649,49101
NE,614,43,119,2378190,618667,934163,1196593,1181597,384980,16.21929967,206091,1993210,23142,1216,84396,34530,618667,1900544,387672,230995,500640,665531,26473,9724,22717,40974,384217,150356,121927,28429,165140,143369,21771,68721,67122,340800,2378190,1181597,115871,224973,156513,193964,186400,1196593,108740,216425,155110,193433,233470,224611,441398,311623,387397,419870,39.51302932,37.29315961,38.35667752,901073,681839,5302,636873,642077,34460,219234,932143,605353,922,573801,576314,28117,326790,61672.93974,12162.22638,3898.105863,16589.52117,1052.232899,11067.92182,13386.18078,30593.73779,62489.78176,618667,48533,1048710,1048710,934163,114547,934163,654841,279322,1937.17101,642.0472313,116835.9935,98.40889251,66250.65147,38,81,382,614,105124,143613
NH,295,0,64,1316470,346128,513804,667076,649394,101420,7.629084746,36704,1215050,2693,329,13625,28241,346128,1057067,202132,143996,278064,359796,14186,10192,15274,26482,217409,78747,56843,21904,88929,71602,17327,49733,39463,170331,1316470,649394,62526,112795,104089,120592,102328,667076,60588,113829,106501,122581,123407,123114,226624,210590,243173,225735,41.27457627,39.72542373,40.48135593,516683,389196,1123,370593,364451,23622,127487,540160,350598,162,336784,330832,19604,189562,76239.43051,7932.237288,3957.779661,30626.21017,0,4227.698305,18558.6678,25447.6339,76590.42373,346128,17490,607758,607758,513804,93954,513804,373237,140567,1949.955932,959.9728814,255948.1356,99.3260678,82305.76271,9,55,170,295,28121,0
NJ,2010,687,541,8791894,2198650,3176069,4512294,4279600,3577016,41.42421891,1555144,5214878,12227,1963,1125401,719827,2198650,7333907,1276135,922515,1641947,2727239,139041,135231,216253,163106,1199186,428728,341322,87406,548691,482914,65777,221767,188484,1155571,8791894,4279600,397503,842539,662316,695720,625045,4512294,369725,855641,692118,745667,840406,767228,1698180,1354434,1441387,1465451,39.96467662,37.45074627,38.79353234,3309834,2424268,7734,2303755,2226599,189935,885566,3583253,2172434,1718,2078567,2003961,166755,1410819,86039.21244,49909.89055,2156.021393,70752.9209,250.0004975,30067.94776,23908.78756,62395.95771,88036.03134,2198650,148190,3529033,3529033,3176069,352964,3176069,2126279,1049790,1944.21393,1157.069154,364484.5866,112.1676915,81734.82587,182,359,628,2010,640355,2886634
