Geography,Count of 1,Sum of MIN Tract,Sum of LMI Tract,Sum of Total Persons,Sum of Total Families,Sum of Total HHs,Sum of Total Female Pop,Sum of Total Male Pop,Sum of Total Minority Pop,Average of Minority Pop as Percent of Tract Pop,Sum of Total Pop Hispanic only,Sum of Total Pop Non-Hispanic White,Sum of Total Pop Non-Hispanic American Indian/Alaska Native,Sum of Total Pop Non-Hispanic Native Hawaiian/other Pacific Islander,Sum of Total Pop Non-Hispanic Black/African American,Sum of Total Pop Non-Hispanic Asian,Sum of Total Pop Householder in Family HHs,Sum of Total Pop in Family HHs,Sum of Total Male Householders in Family HHs,Sum of Total Female Householders in Family HHs,Sum of Total Spouse Householder in Family HHs,Sum of Total Children in Family HHs,Sum of Total Grandchildren in Family HHs,Sum of Total Parents in Family HHs,Sum of Total Other Relatives in Family HHs,Sum of Total Non-relatives in Family HHs,Sum of Total Pop in Non-Family HHs,Sum of Total Male Households in Non-Family HHs,Sum of Total Male Householders living alone in Non-Family HHs,Sum of Total Male Householders not living alone in Non-Family HHs,Sum of Total Female Householders in Non-Family HHs,Sum of Total Female Householders living alone in Non-Family HHs,Sum of Total Female Householders not living alone in Non-Family HHs,Sum of Total nonrelatives in Non-Family HHs,Sum of Total Pop in Group Quarters,Sum of Total Pop 65 years and over,Sum of Total Population,Sum of Total Male Pop2,Sum of Total Male Pop 18 to 24 years,Sum of Total Male Pop 25 to 39 years,Sum of Total Male Pop 40 to 49 years,Sum of Total Male Pop 50 to 61 years,Sum of Total Male Pop 62 years and over,Sum of Total Female Pop2,Sum of Total Female Pop 18 to 24 years,Sum of Total Female Pop 25 to 39 years,Sum of Total Female Pop 40 to 49 years,Sum of Total Female Pop 50 to 61 years,Sum of Total Female Pop 62 years and over,Sum of Total Male/Female Pop 18 to 24 years,Sum of Total Male/Female Pop 25 to 39 years,Sum of Total Male/Female Pop 40 to 49 years,Sum of Total Male/Female Pop 50-61 years,Sum of Total Male/Female Pop 62 years and over,Average of Female Median Age,Average of Male Median Age,Average of Persons Median Age,Sum of Total Male Pop 16 and over,Sum of Total Male Pop 16 and over in Labor Force,Sum of Total Male Pop 16 and over in Armed Forces,Sum of Total Male Pop 16 and over - Civilians,Sum of Total Male Pop 16  and over - Employed,Sum of Total Male Pop 16 and over - Unemployed,Sum of Total Male Pop 16 and over - Not in Labor Force,Sum of Total Female Pop 16 and over,Sum of Total Female Pop 16 and over in Labor Force,Sum of Total Female Pop 16 and over in Armed Forces,Sum of Total Female Pop 16 and over - Civilians,Sum of Total Female Pop 16  and over - Employed,Sum of Total Female Pop 16 and over - Unemployed,Sum of Total Female Pop 16 and over - Not in Labor Force,Average of MFI - White,Average of MFI - Black,Average of MFI - American Indian/Alaska Native,Average of MFI - Asian,Average of MFI - Native Hawaiian/Pacific Islander,Average of MFI - Some other race,Average of MFI - Two or more races,Average of MFI - Hispanic or Latino,"Average of MFI - White, not Hispanic",Sum of Total Families2,Sum of Total Families with Income Below Poverty,Sum of Total Housing Units,Sum of Total Housing Units - Occupancy Status,Sum of Total Occupied Housing Units,Sum of Total Vacant Housing Units,Sum of Total Occupied Housing Units - Tenure,Sum of Total Owner Occupied Housing Units - Tenure,Sum of Total Renter Occupied Housing Units - Tenure,Average of Median Year Structure Built,Average of Median Gross Rent - Dollars,Average of Median Value (Dollars) for all Owner Occupied Housing Units,Average of MFI as Percent of MSA MFI,Average of MSA MFI,Sum of Low Income,Sum of Moderate Income,Sum of Middle Income,Count of Upper Income,Sum of LMI Pop,Sum of MIN Pop
"Cannon County, TN",4,0,4,27602,7680,10642,13940,13662,1222,4.3075,420,26380,52,18,334,38,7680,23474,5090,2590,5718,8132,564,252,352,620,3414,1264,990,274,1698,1598,100,452,374,4224,27602,13662,1158,2436,2206,2228,2440,13940,1060,2332,2074,2458,3008,2218,4768,4280,4686,5448,42.25,40,41,10730,6754,0,6480,6268,486,3976,11048,5410,24,5126,4982,404,5638,45434.75,0,23812.5,0,0,0,20890,0,45603,7680,708,11938,11938,10642,1296,10642,8112,2530,1975.25,541.75,113350,72.4275,67100,0,4,0,4,0,0
"Canovanas County, PR",12,12,5,47648,10837,13837,24492,23156,47439,99.56083333,47285,209,4,0,120,9,10837,43498,6121,4716,6824,18676,3249,415,1739,1194,3518,1431,1178,253,1569,1414,155,518,135,5356,47648,23156,2384,4412,3268,3106,3407,24492,2417,5005,3560,3457,3913,4801,9417,6828,6563,7320,37.08333333,34.25,35.75,17014,9727,0,9480,8223,1504,7287,18591,8992,0,8844,7626,1366,9599,26930.16667,36135.58333,595.25,1450.916667,0,22743.41667,17996.08333,25346.25,0,10837,4084,16261,16261,13837,2424,13837,11357,2480,1982,428.1666667,122950,101.7558333,27000,1,4,4,12,4661,47648
"Canyon County, ID",29,2,17,188923,46369,62008,95417,93506,52370,28.79482759,45069,136553,1229,369,877,1402,46369,158691,28635,17734,35944,62608,3175,1395,3255,4209,20378,7470,5474,1996,8169,6881,1288,4739,3654,19024,188923,93506,8860,19244,11697,11779,11531,95417,8840,19651,11586,12360,13883,17700,38895,23283,24139,25414,32.96551724,31.65517241,32.44827586,64121,46809,257,44840,41572,4980,17312,66594,38543,27,37480,35112,3404,28051,46412.27586,0,11870.96552,10922.03448,0,27977.34483,28370.51724,35265.51724,48755.10345,46369,5911,67649,67649,62008,5641,62008,44286,17722,1982.103448,727.6206897,149058.6207,77.33827586,61300,2,15,12,29,7306,7306
"Cape Girardeau County, MO",16,0,4,75674,19794,29624,39062,36612,9142,15.185625,1476,66532,171,19,5290,887,19794,58246,12189,7605,14958,19546,1110,414,667,1243,12531,4387,3179,1208,5443,4659,784,2701,3506,10374,75674,36612,5038,6970,4708,5821,5614,39062,5523,6934,4902,6081,7484,10561,13904,9610,11902,13098,36.625,34.625,35.6875,28625,20787,122,19954,19011,1654,7838,31175,19199,0,18567,18322,877,11976,53661.6875,27794.4375,0,0,156.1875,2109.375,9987.75,26659.625,54466.4375,19794,1930,32231,32231,29624,2607,29624,19971,9653,1973.5,612.3125,121356.25,99.204375,55000,1,3,8,16,2522,0
"Cape May County, NJ",33,0,8,97265,29903,45420,49978,47287,12743,11.67727273,6054,84522,143,32,4244,818,29903,77834,17807,12096,22416,21053,1513,174,678,1839,17713,6697,5527,1170,8820,7693,1127,2196,2137,20543,97265,47287,4217,6932,6441,9093,11209,49978,3519,6837,6680,9766,14222,7736,13769,13121,18859,25431,48,44.81818182,46.39393939,39086,26237,718,23434,23518,2001,12849,42256,22927,115,21414,20793,2019,19329,70814.24242,21641.45455,0,9148.393939,0,1306.787879,4089.545455,11794.36364,70848.66667,29903,1915,98394,98394,45420,52974,45420,33769,11651,1913.212121,972.5454545,416821.2727,100.5166667,75200,2,6,15,33,4074,0
"Carbon County, MT",6,0,0,20156,5588,8298,9946,10210,820,4.03,376,19336,152,6,60,44,5588,16006,2800,2788,4832,4374,340,170,280,308,3662,1484,1022,462,1226,1064,162,952,320,3524,20156,10210,520,1414,1424,2304,2470,9946,462,1466,1426,2294,2404,982,2880,2850,4598,4874,48,47.5,48,8222,5834,0,5330,5572,262,2388,8128,4966,0,4676,4820,146,3162,60485.5,0,0,0,0,0,0,17135.5,60524.16667,5588,454,12584,12584,8298,4286,8298,6052,2246,1967,618.6666667,225516.6667,98.25166667,66800,0,0,6,6,0,0
"Carbon County, PA",12,0,7,65249,18063,26111,33076,32173,4081,6.568333333,2145,61168,100,24,888,304,18063,53968,10653,7410,14228,17477,1107,654,870,1247,9904,3712,2783,929,4336,3644,692,1856,691,11308,65249,32173,2340,5413,5040,6127,6314,33076,2177,5407,5010,6052,7829,4517,10820,10050,12179,14143,44.41666667,42.25,43.33333333,25796,17176,80,16355,15505,1591,8620,26864,14827,10,14401,13783,1034,12037,54410.66667,12331.83333,3125,17662,0,5298.333333,19847.83333,23526.66667,54595.66667,18063,1404,33795,33795,26111,7684,26111,20940,5171,1960,691.4166667,135258.3333,78.2675,71200,0,7,5,12,0,0
"Carbon County, UT",6,0,1,42806,10864,15932,21576,21230,6792,15.77833333,5318,36014,372,40,168,244,10864,34132,6412,4452,8658,12192,942,178,500,654,5928,2378,2016,362,2690,2498,192,860,1470,5712,42806,21230,2308,4088,2198,3538,3316,21576,2184,4080,2316,3474,3860,4492,8168,4514,7012,7176,35.16666667,33.33333333,34.33333333,15792,10446,0,10106,9600,846,5346,15836,8506,0,8142,7952,554,7330,54737.33333,833,8183.333333,4420.333333,0,34186.33333,17343.66667,39805.33333,54852.5,10864,1048,18884,18884,15932,2952,15932,11276,4656,1968.666667,541.1666667,110633.3333,93.805,63800,0,1,5,6,0,0
"Carbon County, WY",6,0,1,31770,8694,12410,14664,17106,6404,17.87666667,5336,25366,242,26,218,206,8694,23840,5106,3588,6800,6986,444,14,286,556,4368,1828,1528,300,1888,1472,416,652,3040,3710,31770,17106,1372,3572,2436,3126,2616,14664,1068,2804,1950,2802,2522,2440,6376,4386,5928,5138,40,38.83333333,39.16666667,13454,8562,0,8010,8210,352,4892,11412,7774,0,7422,7366,408,3638,65226.16667,0,24342.16667,31342.66667,0,14219.66667,12510,28964.83333,68598,8694,488,17064,17064,12410,4654,12410,8848,3562,1971.5,626.6666667,128500,97.05,71500,0,1,5,6,0,0
"Caribou County, ID",3,0,0,13926,4176,5452,6908,7018,964,6.83,672,12962,38,30,8,28,4176,12284,3152,1024,3578,4064,122,10,72,258,1392,644,562,82,632,582,50,116,124,2176,13926,7018,474,1242,804,1242,1196,6908,408,1166,820,1092,1450,882,2408,1624,2334,2646,38,36,37,5172,3744,0,3456,3652,92,1428,5050,2530,0,2430,2416,114,2520,54743,0,9907.333333,0,0,7118,26030.33333,19647,55268,4176,174,6452,6452,5452,1000,5452,4320,1132,1970.333333,497.3333333,117633.3333,106.6033333,53200,0,0,3,3,0,0
